timestamp,frontend&cpu_usage,frontend&mem_usage_mb,frontend&mem_usage_pct,frontend&grpc_latency_p99,frontend&grpc_error_rate,frontend&grpc_rps,frontend&pod_restarts,cartservice&cpu_usage,cartservice&mem_usage_mb,cartservice&mem_usage_pct,cartservice&grpc_latency_p99,cartservice&grpc_error_rate,cartservice&grpc_rps,cartservice&pod_restarts,productcatalogservice&cpu_usage,productcatalogservice&mem_usage_mb,productcatalogservice&mem_usage_pct,productcatalogservice&grpc_latency_p99,productcatalogservice&grpc_error_rate,productcatalogservice&grpc_rps,productcatalogservice&pod_restarts,currencyservice&cpu_usage,currencyservice&mem_usage_mb,currencyservice&mem_usage_pct,currencyservice&grpc_latency_p99,currencyservice&grpc_error_rate,currencyservice&grpc_rps,currencyservice&pod_restarts,paymentservice&cpu_usage,paymentservice&mem_usage_mb,paymentservice&mem_usage_pct,paymentservice&grpc_latency_p99,paymentservice&grpc_error_rate,paymentservice&grpc_rps,paymentservice&pod_restarts,shippingservice&cpu_usage,shippingservice&mem_usage_mb,shippingservice&mem_usage_pct,shippingservice&grpc_latency_p99,shippingservice&grpc_error_rate,shippingservice&grpc_rps,shippingservice&pod_restarts,checkoutservice&cpu_usage,checkoutservice&mem_usage_mb,checkoutservice&mem_usage_pct,checkoutservice&grpc_latency_p99,checkoutservice&grpc_error_rate,checkoutservice&grpc_rps,checkoutservice&pod_restarts,emailservice&cpu_usage,emailservice&mem_usage_mb,emailservice&mem_usage_pct,emailservice&grpc_latency_p99,emailservice&grpc_error_rate,emailservice&grpc_rps,emailservice&pod_restarts,recommendationservice&cpu_usage,recommendationservice&mem_usage_mb,recommendationservice&mem_usage_pct,recommendationservice&grpc_latency_p99,recommendationservice&grpc_error_rate,recommendationservice&grpc_rps,recommendationservice&pod_restarts,adservice&cpu_usage,adservice&mem_usage_mb,adservice&mem_usage_pct,adservice&grpc_latency_p99,adservice&grpc_error_rate,adservice&grpc_rps,adservice&pod_restarts,reviewservice&cpu_usage,reviewservice&mem_usage_mb,reviewservice&mem_usage_pct,reviewservice&grpc_latency_p99,reviewservice&grpc_error_rate,reviewservice&grpc_rps,reviewservice&pod_restarts,system&total_rps,system&node_cpu_pct,system&node_mem_pct,fault_type,target_service
1780962110,5.566413,76.367188,6.629096,0.112,0.235955,2.670267,1.0,1.358684,113.703125,9.870063,0.004786,0.007958,7.296303,7.0,2.935444,57.175781,4.963175,0.000914,0.001715,33.849429,1.0,3.106265,89.269531,7.749091,0.003166,0.002193,28.3054,3.0,0.296506,167.320312,14.524333,0.00416,0.15,0.413813,1.0,0.573204,58.492188,5.077447,0.000828,0.028571,2.10021,1.0,0.774184,64.851562,5.629476,0.0475,0.15,0.387064,1.0,0.575771,88.054688,7.643636,0.94,0.833333,0.360036,2.0,1.487383,91.785156,6.226944,0.385,0.986395,4.410309,1.0,0.850862,155.25,11.725831,0.00363,0.014599,4.110411,4.0,1.135029,74.734375,6.487359,0.004844,0.011905,5.040504,1.0,88.943747,13.135708,56.890362,normal,none
1780962120,7.801196,75.769531,6.577216,0.133,0.229885,2.609556,1.0,1.540678,113.449219,9.848022,0.004698,0.008097,7.408741,7.0,2.854395,57.175781,4.963175,0.000721,0.001736,34.554126,1.0,3.171096,89.269531,7.749091,0.002223,0.002167,27.692769,3.0,0.339456,167.664062,14.554172,0.000975,0.142857,0.420029,1.0,0.569358,58.492188,5.077447,0.000976,0.02439,2.380492,1.0,0.743023,64.851562,5.629476,0.048375,0.153846,0.389922,1.0,0.409631,88.054688,7.643636,0.9475,0.857143,0.406425,2.0,1.470157,91.839844,6.230654,0.2185,0.986364,4.25779,1.0,0.858818,155.25,11.725831,0.003456,0.015,3.870793,4.0,1.16124,74.722656,6.486342,0.004838,0.012048,4.819044,1.0,88.809687,15.97573,57.068466,normal,none
1780962130,8.040049,74.996094,6.510078,0.095875,0.237037,2.792718,1.0,1.734965,113.464844,9.849379,0.004682,0.007895,7.86131,7.0,2.975341,57.375,4.980469,0.000742,0.001676,37.030141,1.0,3.294885,90.53125,7.858615,0.002913,0.002137,28.075227,3.0,0.421067,167.664062,14.554172,0.000984,0.111111,0.539892,1.0,0.587069,58.496094,5.077786,0.00095,0.022727,2.730714,1.0,0.82839,64.933594,5.636597,0.047125,0.136364,0.45511,1.0,0.553736,84.902344,7.369995,0.961667,0.875,0.496483,2.0,1.550498,91.839844,6.230654,0.184,0.986667,4.499235,1.0,0.818093,155.25,11.725831,0.003464,0.015544,3.992553,4.0,1.274148,74.722656,6.486342,0.004846,0.012048,4.979004,1.0,93.452388,10.178117,56.902282,normal,none
1780962140,7.896585,74.996094,6.510078,0.115,0.223404,2.819436,1.0,1.734965,113.464844,9.849379,0.00467,0.007752,7.738684,7.0,2.975341,57.375,4.980469,0.000699,0.00158,37.972406,1.0,3.184395,90.53125,7.858615,0.002074,0.001953,31.774928,3.0,0.443361,167.292969,14.521959,0.000977,0.130435,0.475796,1.0,0.573604,56.464844,4.901462,0.00132,0.019608,3.05948,1.0,0.867994,64.933594,5.636597,0.04775,0.111111,0.539908,1.0,0.553736,84.902344,7.369995,0.961667,0.875,0.496483,2.0,1.567977,91.859375,6.231979,0.22,0.986667,4.654627,1.0,0.637762,155.25,11.725831,0.003464,0.015544,3.992553,4.0,1.1685,74.777344,6.491089,0.004853,0.012987,4.778651,1.0,98.302952,10.178117,56.902282,normal,none
1780962150,6.24044,75.171875,6.525336,0.14425,0.231293,2.844042,1.0,1.713671,113.453125,9.848362,0.004668,0.007519,7.719543,7.0,2.684268,57.71875,5.010308,0.00082,0.001646,36.433969,1.0,3.181939,89.292969,7.751126,0.001683,0.001825,32.873425,3.0,0.355728,167.292969,14.521959,0.000972,0.133333,0.44991,1.0,0.573604,56.464844,4.901462,0.00092,0.021898,2.65057,1.0,0.706101,64.9375,5.636936,0.048083,0.148148,0.522375,1.0,0.49478,84.902344,7.369995,0.94,0.875,0.464333,2.0,1.06728,91.859375,6.231979,0.087,0.986364,4.256389,1.0,0.92622,154.898438,11.699278,0.00116,0.015464,3.753289,4.0,0.880064,74.777344,6.491089,0.00492,0.012821,4.527251,1.0,96.495096,15.963086,56.984923,normal,none
1780962160,8.398086,75.527344,6.556193,0.13375,0.236842,3.143874,1.0,1.799137,113.453125,9.848362,0.004786,0.007353,8.438993,7.0,2.904858,57.382812,4.981147,0.000807,0.001599,38.802019,1.0,3.517999,91.414062,7.935248,0.002038,0.001908,30.413837,3.0,0.412359,167.695312,14.556885,0.000965,0.157895,0.36759,1.0,0.601119,56.523438,4.906548,0.000495,0.02381,2.518967,1.0,0.706101,64.9375,5.636936,0.04525,0.12,0.517084,1.0,0.312901,84.902344,7.369995,0.925,0.866667,0.449816,2.0,1.539585,91.871094,6.232774,0.0745,0.986395,4.40806,1.0,0.953026,154.941406,11.702523,0.000974,0.015267,3.928154,4.0,1.105888,74.589844,6.474813,0.004951,0.013072,4.588119,1.0,97.576513,13.117728,56.984923,network-corrupt,cartservice
1780962170,8.714207,74.933594,6.504652,0.13375,0.236842,3.143874,1.0,1.419962,113.453125,9.848362,0.004887,0.007273,8.246372,7.0,3.00576,57.382812,4.981147,0.000825,0.001616,37.123666,1.0,3.500485,91.414062,7.935248,0.002674,0.001901,32.638372,3.0,0.426999,167.695312,14.556885,0.00408,0.166667,0.372309,1.0,0.608175,56.335938,4.890272,0.000495,0.022727,2.730262,1.0,0.735995,64.976562,5.640327,0.04775,0.125,0.479789,1.0,0.396301,84.902344,7.369995,0.885,0.869565,0.475718,2.0,1.197836,91.871094,6.232774,0.0845,0.986547,4.612393,1.0,0.958638,154.941406,11.702523,0.00228,0.014778,4.198726,4.0,1.105888,74.589844,6.474813,0.0059,0.012712,4.881277,1.0,98.902757,10.161744,56.856003,network-corrupt,cartservice
1780962180,8.693553,74.933594,6.504652,0.197125,0.22449,2.845143,1.0,1.073381,113.453125,9.848362,0.05225,0.007576,7.664318,7.0,2.849545,57.46875,4.988607,0.000825,0.001631,35.593319,1.0,3.391701,89.578125,7.775879,0.002674,0.001901,32.638372,3.0,0.440547,167.699219,14.557224,0.00408,0.166667,0.372309,1.0,0.608175,56.335938,4.890272,0.000499,0.025862,2.245103,1.0,0.608014,64.976562,5.640327,0.223,0.190476,0.406457,1.0,0.375935,84.902344,7.369995,0.4625,0.857143,0.419815,2.0,1.467874,91.886719,6.233834,0.0725,0.986486,4.438047,1.0,0.681702,155.042969,11.710194,0.00222,0.014286,4.198279,4.0,1.284694,74.632812,6.478543,0.00705,0.011696,5.127744,1.0,95.948906,13.156711,56.856003,network-corrupt,cartservice
1780962190,8.21181,74.898438,6.5016,0.205,0.212766,2.821128,1.0,1.610401,113.46875,9.849718,0.08375,0.007843,7.653061,7.0,2.967021,57.46875,4.988607,0.000758,0.001651,37.603477,1.0,3.54635,90.503906,7.856242,0.003033,0.002,29.032633,3.0,0.440547,167.699219,14.557224,0.0042,0.142857,0.406457,1.0,0.520196,56.335938,4.890272,0.00168,0.024691,2.430972,1.0,0.526644,64.976562,5.640327,0.2305,0.166667,0.360166,1.0,0.543899,85.144531,7.391018,0.935,0.857143,0.420168,2.0,1.467874,91.886719,6.233834,0.07,0.986425,4.277309,1.0,0.858265,155.042969,11.710194,0.00236,0.015152,3.961704,4.0,1.284694,74.632812,6.478543,0.005833,0.012097,4.799969,1.0,93.767044,13.256303,57.165431,network-corrupt,cartservice
1780962200,8.21181,74.898438,6.5016,0.227333,0.21374,2.711149,1.0,1.713706,113.519531,9.854126,0.177062,0.007874,7.884934,7.0,2.947555,57.363281,4.979451,0.000758,0.001651,37.603477,1.0,3.54635,90.503906,7.856242,0.003185,0.001953,30.733215,3.0,0.483634,168.285156,14.608086,0.00436,0.117647,0.510235,1.0,0.573114,56.335938,4.890272,0.000499,0.025641,2.421408,1.0,0.764972,64.4375,5.593533,0.4475,0.111111,0.372524,1.0,0.542676,84.902344,7.369995,0.905,0.842105,0.393212,2.0,1.633997,90.703125,6.153536,0.0945,0.985646,4.325421,1.0,0.892329,155.0625,11.711669,0.00104,0.015464,4.014984,4.0,1.234986,74.835938,6.496175,0.004975,0.012346,5.028974,1.0,95.999531,10.262831,57.172544,network-corrupt,cartservice
1780962210,6.543971,74.898438,6.5016,0.233687,0.2125,2.401032,1.0,1.189343,113.519531,9.854126,0.1948,0.008264,7.026169,7.0,2.744968,57.363281,4.979451,0.000804,0.001778,32.653298,1.0,3.217005,90.988281,7.898288,0.003414,0.002023,30.69186,3.0,0.483634,168.285156,14.608086,0.00424,0.142857,0.434621,1.0,0.566832,56.421875,4.897732,0.0018,0.028986,2.07089,1.0,0.653622,64.449219,5.59455,0.4475,0.25,0.309693,1.0,0.515784,84.902344,7.369995,0.945,0.818182,0.330142,2.0,1.633997,90.703125,6.153536,0.0845,0.984962,3.991716,1.0,0.689008,155.0625,11.711669,0.000919,0.016393,3.661465,4.0,1.234986,74.835938,6.496175,0.004861,0.0125,4.802065,1.0,88.372953,13.266807,57.172544,network-corrupt,cartservice
1780962220,7.257762,74.898438,6.5016,0.232429,0.234568,2.429223,1.0,1.0907,113.519531,9.854126,0.210167,0.008264,7.257678,7.0,2.833855,57.960938,5.031331,0.000795,0.001842,32.568601,1.0,3.219907,90.988281,7.898288,0.00315,0.002039,29.44266,3.0,0.364376,168.285156,14.608086,0.00095,0.166667,0.360155,1.0,0.539052,56.421875,4.897732,0.000945,0.028037,2.071075,1.0,0.653622,64.449219,5.59455,0.47,0.181818,0.329875,1.0,0.532916,84.960938,7.375081,0.915,0.823529,0.329049,2.0,1.777584,90.703125,6.153536,0.1,0.985222,3.929235,1.0,0.855408,155.066406,11.711964,0.00096,0.015873,3.658183,4.0,1.094152,74.828125,6.495497,0.004861,0.012987,4.471285,1.0,86.847018,16.007278,57.256737,network-corrupt,cartservice
1780962230,7.361601,74.898438,6.5016,0.227875,0.212389,2.337415,1.0,1.716657,113.660156,9.866333,0.2142,0.008499,7.301686,7.0,2.833855,57.960938,5.031331,0.00083,0.001829,33.922846,1.0,3.342817,89.746094,7.79046,0.003295,0.002116,28.340931,3.0,0.439171,168.195312,14.600288,0.00095,0.222222,0.269906,1.0,0.481521,56.417969,4.897393,0.000735,0.027523,2.254675,1.0,0.376671,64.425781,5.592516,0.4575,0.117647,0.351639,1.0,0.532916,84.960938,7.375081,0.2415,0.8125,0.330955,2.0,1.609163,90.953125,6.170497,0.4125,0.984615,3.898752,1.0,0.689506,155.066406,11.711964,0.00126,0.015707,3.950852,4.0,1.200553,74.09375,6.431749,0.004875,0.012987,4.618522,1.0,87.578179,10.294969,57.278424,network-corrupt,cartservice
1780962240,8.248833,74.742188,6.488037,0.196,0.210526,2.279202,1.0,1.724901,113.394531,9.843275,0.211,0.008811,6.807617,7.0,3.092207,57.566406,4.997084,0.000888,0.001843,32.539587,1.0,3.239528,89.746094,7.79046,0.003562,0.002096,29.599752,3.0,0.420979,168.195312,14.600288,0.000968,0.142857,0.434378,1.0,0.6011,56.417969,4.897393,0.000837,0.027397,2.189234,1.0,0.705881,64.496094,5.598619,0.04775,0.181818,0.329894,1.0,0.566494,84.707031,7.353041,0.2415,0.8125,0.330955,2.0,1.499513,90.953125,6.170497,0.3725,0.984772,4.074963,1.0,0.858087,154.914062,11.700458,0.00126,0.015707,3.950852,4.0,1.235852,74.09375,6.431749,0.004873,0.020921,4.943737,1.0,87.480171,10.294969,57.278424,network-corrupt,cartservice
1780962250,7.047179,74.742188,6.488037,0.246625,0.228346,2.457954,1.0,1.34284,113.394531,9.843275,0.221263,0.008174,7.103043,7.0,3.092207,57.566406,4.997084,0.000852,0.001638,36.640259,1.0,3.498172,90.144531,7.825046,0.003422,0.002058,29.149798,3.0,0.402862,167.957031,14.579603,0.000973,0.117647,0.509822,1.0,0.625247,56.765625,4.927572,0.000803,0.02459,2.361229,1.0,0.705881,64.496094,5.598619,0.445,0.136364,0.425795,1.0,0.580341,84.707031,7.353041,0.2335,0.869565,0.44515,2.0,1.500647,90.699219,6.153271,0.229,0.986239,4.219164,1.0,0.870442,154.945312,11.702818,0.00124,0.015707,3.696679,4.0,1.176824,74.34375,6.453451,0.004919,0.021008,4.606333,1.0,91.615225,16.078929,57.294602,network-corrupt,cartservice
1780962260,8.543514,75.050781,6.514825,0.24625,0.205128,2.421157,1.0,1.351955,113.648438,9.865316,0.2265,0.008086,7.677345,7.0,3.136516,57.335938,4.977078,0.000865,0.001628,38.139188,1.0,3.533082,90.546875,7.859972,0.003068,0.002065,28.121855,3.0,0.243631,168.214844,14.601983,0.0045,0.115385,0.503203,1.0,0.689401,57.050781,4.952325,0.000782,0.02381,2.520781,1.0,0.919315,64.503906,5.599297,0.435,0.074074,0.558752,1.0,0.609652,85.269531,7.401869,0.226,0.882353,0.510158,2.0,1.038282,90.699219,6.153271,0.1825,0.986486,4.441244,1.0,0.923451,154.945312,11.702818,0.000988,0.016129,3.721154,4.0,1.278686,74.1875,6.439887,0.004945,0.023952,5.011403,1.0,93.62624,13.378147,57.294602,network-corrupt,cartservice
1780962270,8.543514,75.050781,6.514825,0.24625,0.205128,2.421157,1.0,1.73042,113.648438,9.865316,0.229625,0.007692,7.802419,7.0,3.136516,57.335938,4.977078,0.000861,0.001552,38.681991,1.0,3.527377,90.546875,7.859972,0.003356,0.002101,29.549922,3.0,0.335519,168.597656,14.635213,0.00444,0.103448,0.600116,1.0,0.58101,57.050781,4.952325,0.000678,0.023077,2.690175,1.0,0.988904,64.488281,5.597941,0.4475,0.095238,0.630195,1.0,0.609652,85.269531,7.401869,0.2095,0.892857,0.579434,2.0,1.196654,90.699219,6.153271,0.2245,0.986239,4.511309,1.0,0.936114,155.070312,11.712259,0.00146,0.016129,3.849178,4.0,1.283998,74.039062,6.427002,0.004909,0.019763,5.235494,1.0,96.551391,10.397525,57.310429,network-corrupt,cartservice
1780962280,7.40961,75.175781,6.525675,0.34375,0.212598,2.458001,1.0,1.620492,113.371094,9.841241,0.217577,0.007853,7.393501,7.0,2.703351,58.140625,5.046929,0.000885,0.001597,36.348153,1.0,3.20636,90.210938,7.830811,0.003356,0.002101,29.549922,3.0,0.425677,168.597656,14.635213,0.00444,0.103448,0.600116,1.0,0.662627,57.167969,4.962497,0.00228,0.022901,2.535418,1.0,0.988904,64.488281,5.597941,0.4275,0.107143,0.541911,1.0,0.544771,85.269531,7.401869,0.0945,0.913043,0.690214,2.0,0.946264,90.699219,6.153271,0.175,0.986755,4.531405,1.0,0.750626,155.070312,11.712259,0.000991,0.016129,3.721154,4.0,1.203117,74.039062,6.427002,0.004933,0.011905,5.041412,1.0,93.411206,13.32073,57.310429,network-corrupt,cartservice
